estacao,codigo,estado
SAO LUIZ GONZAGA,83907,RS
SOLEDADE,83938,RS
TAPES,83966,RS
TAQUARA,83943,RS
TAQUARI,83940,RS
TEUTONIA,83972,RS
TORRES,83948,RS
TRES DE MAIO,83878,RS
TRES PASSOS,83879,RS
TRIUNFO,83954,RS
URUGUAIANA,83927,RS
VACARIA,83918,RS
VIAMAO,83968,RS
ARARANGUA,83921,SC
BLUMENAU,83871,SC
BRUSQUE,83896,SC
CAMBORIU,83898,SC
CAMPO ALEGRE,83869,SC
CAMPO BELO SUL,83893,SC
CAMPOS NOVOS,83887,SC
CHAPECO,83883,SC
CONCORDIA,83882,SC
CURITIBANOS,83890,SC
DIONISIO SERQUEIRA,83854,SC
FLORIANOPOLIS,83897,SC
FRAIBURGO,83873,SC
HERVAL DO OESTE (H. NOVO),83886,SC
INDAIAL,83872,SC
IRINEOPOLIS,83865,SC
JAGUARA DO SUL,83875,SC
JOACABA,83904,SC
LAGES,83891,SC
LAGUNA,83924,SC
ORLEANS,83922,SC
PORTO UNIAO,83864,SC
RIO DO SUL,83877,SC
SAO BENTO DO SUL,83046,SC
SAO DOMINGOS,83071,SC
SAO FRANCISCO DO SUL,83874,SC
SAO JOAQUIM,83920,SC
SAO MIGUEL DO OESTE,83862,SC
TIMBO,83870,SC
URUSSANGA,83923,SC
XANXERE,83858,SC
ALEGRE,83645,ES
ALFREDO CHAVES,83043,ES
ARACRUZ,83038,ES
BOA ESPERANCA,83557,ES
CACH.DO ITAPEMIRIM,83646,ES
CONCEICAO DA BARRA,83548,ES
ECOPORANGA,83546,ES
ITARANA,83034,ES
LINHARES,83597,ES
MARILANDIA (COLATINA),83596,ES
MUCURICI,83495,ES
MUNIZ FREIRE,83013,ES
NOVA VENECIA,83547,ES
SANTA TERESA,83647,ES
SAO GABRIEL DA PALHA,83555,ES
SAO JOAO DE PETROPOLIS,83036,ES
SAO MATEUS,83550,ES
VENDA NOVA,83045,ES
VITORIA,83648,ES
ACESITA,83593,MG
AIMORES,83595,MG
ARACUAI,83442,MG
ARAGUARI,83482,MG
ARAXA,83579,MG
ARINOS,83384,MG
BAMBUI,83582,MG
BARBACENA,83689,MG
BELO HORIZONTE,83587,MG
BELO HORIZONTE  LOURDES,83580,MG
BOM DESPACHO,83533,MG
BONFINOPOLIS,83432,MG
BONSUCESSO,83636,MG
BURITIS,83383,MG
C. DO MATO DENTRO,83589,MG
CACHOEIRA DO CAMPO,83640,MG
CALDAS(P. DE CALDAS),83681,MG
CAMBUQUIRA,83685,MG
CAMPO DA FE (VIRGINIA),83733,MG
CAPARAO,83639,MG
CAPINOPOLIS,83514,MG
CARATINGA,83592,MG
CARBONITA,83485,MG
CATAGUASES,83027,MG
CAXAMBU,83686,MG
CONTAGEM,83602,MG
CORONEL FABRICIANO,83613,MG
CORONEL PACHECO,83037,MG
CURVELO,83536,MG
DIAMANTINA,83538,MG
DIVINOPOLIS,83635,MG
ENG. DOLABELA (BOCAIUVA),83438,MG
ESPINOSA,83338,MG
FAZENDA MONTE ALEGRE,83657,MG
FLORESTAL,83581,MG
FORMOSO,83334,MG
FRUTAL,83574,MG
GOVERNADOR VALADARES,83543,MG
GRAO MOGOL,83439,MG
GUANHAES,83542,MG
IBIRITE,83632,MG
INSTITUTO AGRONOMICO,83039,MG
ITABIRA,83590,MG
ITACARAMBI,83390,MG
ITAJUBA,83735,MG
ITAMARANDIBA,83488,MG
ITAMBACURI,83490,MG
ITUIUTABA,83521,MG
JACUTINGA,83040,MG
JANAUBA,83395,MG
JANUARIA,83386,MG
JANUARIA-METALUR (AG),83401,MG
JEQUITINHONHA,83444,MG
JOAO MONLEVADE,83591,MG
JOAO PINHEIRO,83481,MG
JUIZ DE FORA,83692,MG
JURAMENTO,83452,MG
LAMBARI,83032,MG
LAVRAS,83687,MG
LAVRAS-ESAL.,83023,MG
LEOPOLDINA,83693,MG
MACHADO,83683,MG
MANGA,83337,MG
MANHUACU,83653,MG
MARIA DA FE,83015,MG
MATEUS LEME,83578,MG
MINA AGUAS CLARAS,83605,MG
MINAS NOVAS,83440,MG
MOCAMBINHO,83389,MG
MONTALVANIA,83340,MG
MONTE ALEGRE DE MINAS,83524,MG
MONTE AZUL,83388,MG
MONTES CLAROS,83437,MG
MURIAE,83694,MG
MUZAMBINHO,83682,MG
NANUQUE-ALCANA,83501,MG
OLIVEIRA,83637,MG
OURO BRANCO,83638,MG
OURO FINO,83732,MG
OURO PRETO,83641,MG
PARACATU,83479,MG
PASSA QUATRO,83737,MG
PATOS DE MINAS,83531,MG
PATROCINIO,83539,MG
PEDRA AZUL,83393,MG
PIRAPORA,83483,MG
PITANGUI,83585,MG
POMPEU,83570,MG
PONTE ALTA,83061,MG
PONTE NOVA,83643,MG
PORTEIRINHA,83387,MG
SALINAS,83441,MG
SANTA BARBARA,83072,MG
SANTOS DUMONT,83690,MG
SAO FRANCISCO,83385,MG
SAO JOAO DEL REI,83688,MG
SAO JOAO EVANGELISTA,83541,MG
SAO LOURENCO,83736,MG
SAO ROMAO,83435,MG
SAO S.DO PARAISO,83631,MG
SERRA AZUL,83083,MG
SERRA DA PIEDADE,83584,MG
SERRA DAS ARARAS,83394,MG
SERRA DOS AIMORES,83500,MG
SETE LAGOAS,83586,MG
TEOFILO OTONI,83492,MG
TRES CORACOES,83684,MG
UBA,83691,MG
UBERABA,83577,MG
UBERLANDIA,83527,MG
UNAI,83428,MG
USIMINAS,83594,MG
VICOSA,83642,MG
ALTO DA BOA VISTA,83007,RJ
ALTO DO ITATIAIA,83750,RJ
ANGRA DOS REIS,83788,RJ
ARARAS,83765,RJ
AVELAR (P.DO ALFERES),83049,RJ
BANGU,83790,RJ
BARRA DO ITABAPOANA,83699,RJ
BARREIRINHA,83752,RJ
CABO FRIO,83747,RJ
CABO FRIO (ALCALIS),83719,RJ
CAMPOS,83698,RJ
CARMO,83807,RJ
CORDEIRO,83718,RJ
ECOLOGIA AGRICOLA,83741,RJ
ENGENHO DE DENTRO,83792,RJ
FAZ.MOD.DE GUARATIBA,83031,RJ
GRA. JURITI (PETROPOL.),83087,RJ
IGUABA GRANDE,83114,RJ
ILHA GUAIBA,83758,RJ
ITAPERUNA,83695,RJ
ITATIAIA (FUNIL),83017,RJ
JACAREPAGUA,83793,RJ
JARDIM BOTANICO,83796,RJ
LARANJEIRAS,83815,RJ
MACAE-PESAGRO,83057,RJ
MARAMBAIA,83660,RJ
MARICA,83089,RJ
NITEROI,83803,RJ
NOVA FRIBURGO,83745,RJ
NOVA IGUACU,83787,RJ
OBSERVATORIO KM-47,83740,RJ
PAO DE ACUCAR,83799,RJ
PENHA,83791,RJ
PETROPOLIS,83804,RJ
PINHEIRAL,83754,RJ
PIRAI,83757,RJ
REALENGO,83801,RJ
RESENDE,83738,RJ
RESENDE (ESC.MILITAR),83739,RJ
RIO BONITO,83048,RJ
RIO DE JANEIRO,83743,RJ
RIO DOURO,83762,RJ
SANTA CRUZ,83789,RJ
SANTA MARIA MADALENA,83696,RJ
SANTA MONICA (VALENCA),83052,RJ
SANTA TERESA,83798,RJ
SANTO ANTONIO DE PADUA,83805,RJ
SAO BENTO(DUQUE DE CAXIAS),83802,RJ
SAO FIDELIS,83697,RJ
SERVICO GEOGRAFICO RIO (M. CONCEICAO),83756,RJ
TERESOPOLIS,83744,RJ
TERESOPOLIS  P.NACIONAL,83806,RJ
TINGUA,83763,RJ
VASSOURAS,83742,RJ
VOLTA REDONDA,83753,RJ
VOLTA REDONDA,83111,RJ
XEREM,83764,RJ
ANDRADINA,83621,SP
ARACATUBA,83672,SP
ASSIS (PEDRINHAS),83717,SP
AVARE,83773,SP
BAIRRO ALTO,83848,SP
BANANAL,83712,SP
BANDEIRANTES,83711,SP
BARAO DE ANTONINA,83771,SP
BARRETOS,83625,SP
BEBEDOURO,83627,SP
BORACEIA,83850,SP
BOTUCATU,83724,SP
BROTAS,83725,SP
CACHOEIRA DA GRACA,83715,SP
CAMPINAS,83729,SP
CAMPOS DA BOCAINA,83710,SP
CAMPOS DO JORDAO,83705,SP
CAMPOS DO JORDAO,83714,SP
CANANEIA,83845,SP
CATANDUVA,83676,SP
COLINA,83626,SP
COOP.AGRI. DE COTIA,83760,SP
CRUZEIRO,83734,SP
CUNHA,83849,SP
DOCAS DE SANTO (ITAPEMA),83823,SP
FACUL.DE HIGIENE (SP),83855,SP
FAZENDA IPANEMA,83770,SP
FAZENDA IPANEMA,83204,SP
FRANCA,83630,SP
GUARULHOS,83075,SP
IGUAPE,83821,SP
ITANHAEM,83822,SP
ITAPETININGA,83776,SP
ITAPEVA,83774,SP
ITU,83824,SP
JABOTICABAL,83678,SP
JAMBEIRO,83846,SP
JAU,83723,SP
LIMEIRA,83727,SP
LIMEIRA,83728,SP
LINS,83674,SP
MAIRIPORA,83081,SP
MOCOCA,83680,SP
MOGI DAS CRUZES,83772,SP
MONTE ALEGRE DO SUL,83730,SP
NOVA ODESSA,83271,SP
PARAGUACU PAULISTA,83060,SP
PARAIBUNA,83847,SP
PEREIRA BARRETO,83620,SP
PIACAGUERA,83817,SP
PINDAMONHANGABA,83707,SP
PINDAMONHANGABA,83706,SP
PINDORAMA,83664,SP
PINHAL,83731,SP
PIQUETE,83709,SP
PIRACICABA,83720,SP
PRESIDENTE PRUDENTE,83716,SP
PUC-SP,83084,SP
RIBEIRAO PRETO,83679,SP
RIBEIRAO PRETO,83668,SP
S.BERNARDO DO CAMPO,83819,SP
SANTA BRANCA,83810,SP
SANTA FE DO SUL,83609,SP
SANTA RITA,83670,SP
SANTA SOFIA,83665,SP
SANTO AMARO,83843,SP
SANTOS,83782,SP
SAO CARLOS,83726,SP
SAO JOSE DO BARREIRO,83713,SP
SAO JOSE DOS CAMPOS,83809,SP
SAO PAULO (IAG),83004,SP
SAO PAULO  HORTO FLORESTAL,83856,SP
SAO PAULO(MIR.de SANTANA),83781,SP
SAO SEBASTIAO,83785,SP
SAO SIMAO,83669,SP
SERTAOZINHO,83667,SP
SOROCABA,83651,SP
SOROCABA,83851,SP
SUZANO,83074,SP
TAMOIO,83666,SP
TATUI,83812,SP
TATUI (IAC),83816,SP
TAUBATE,83784,SP
TIETE,83777,SP
TREMEMBE,83857,SP
TUPI,83859,SP
UBATUBA,83786,SP
UBATUBA,83852,SP
USINA JUNQUEIRA,83629,SP
VILA DEODORO,83035,SP
VOTUPORANGA,83623,SP
BRASILIA,83377,DF
BRASILIA  NOVACAP,83380,DF
FAZENDA SUCUPIRA,83372,DF
RONCADOR,83373,DF
ARAGARCAS,83368,GO
CATALAO,83526,GO
FAZ.CAPIVARA(GOIANIRA),83422,GO
FORMOSA,83379,GO
GOIANESIA,83350,GO
GOIANIA,83423,GO
GOIAS,83374,GO
IPAMERI,83522,GO
ITUMBIARA,83523,GO
JATAI,83464,GO
LUZIANIA,83427,GO
MINEIROS,83467,GO
PIRENOPOLIS,83376,GO
PORANGATU,83257,GO
POSSE,83332,GO
RIO VERDE,83470,GO
AGUA CLARA,83615,MS
AQUIDAUANA,83608,MS
BELA VISTA,83701,MS
CAMPO GRANDE,83611,MS
CORUMBA,83552,MS
COXIM,83512,MS
DOURADOS,83659,MS
IVINHEMA,83704,MS
NHUMIRIM (NHECOLANDIA),83513,MS
PARANAIBA,83565,MS
PONTA PORA,83702,MS
PORTO MURTINHO,83654,MS
SAO GABRIEL DO OESTE,83559,MS
TRES LAGOAS,83618,MS
ALCOMAT,83302,MT
ALTO ARAGUAIA,83412,MT
CACERES,83405,MT
CANARANA,83270,MT
COTRIGUACU,82927,MT
COXIPO DA PONTE,83360,MT
CROSLANDIA,83265,MT
CUIABA,83361,MT
DIAMANTINO,83309,MT
GLEBA CELESTE,83264,MT
GUIRATINGA,83409,MT
JUINA,83276,MT
MATO GROSSO (VILA BELA),83352,MT
MATUPA,83214,MT
MERURI,83367,MT
NOVA XAV.(XAVANTINA),83319,MT
PADRE RICARDO REMETTER,83364,MT
POXOREO,83358,MT
RIO FERRO,83218,MT
RONDONOPOLIS,83410,MT
ROSARIO DO OESTE,83310,MT
SANGRADOURO,83365,MT
SAO JOSE DO RIO CLARO,83267,MT
SAO VICENTE,83363,MT
UTIARITI,83262,MT
